x,y,z
-1.946596887677708310e+01,-7.699930966520778242e+00,7.784478860663334387e+00
6.512578009272800728e+00,-1.561948399824059308e+01,1.258194871797406300e+01
-7.527664184404514458e+00,-5.788864459558066500e+00,6.508553881832869870e+00
-5.655019504814955411e+00,-3.510311709962188331e+00,1.154615116667163832e+01
-6.465491849743942865e+00,1.464114447733036428e+01,1.423250330478838244e+01
-1.601472507284663038e+01,9.083823818915529813e+00,8.945326662513357618e+00
1.314625694854181148e+01,9.410346488173175317e+00,3.862829282019285770e+00
1.530121831084023398e+01,-7.586569830244197732e+00,5.284063868712711276e+00
-9.640006243002776642e+00,-8.479600291302276105e-01,3.741064064437557679e+00
-5.481964075796859959e+00,1.864900084324956708e+01,1.137320697939146719e+01
-8.655562599880891383e+00,-9.117146281030503729e+00,1.212614546827487949e+01
-5.488582186393458073e-01,-3.874137357301282947e+00,1.248866006857463162e+01
-1.489454506570608849e+01,-4.699974768264310043e+00,7.530007085936346378e+00
-1.587816525728250383e+00,1.446149154484394472e+01,9.624058607838447799e+00
2.787768824224343689e-01,1.481376728990926495e+01,5.390278415338248585e+00
1.381889345266606739e+01,-1.342562277239769841e+01,7.862367727410866536e+00
1.777352220287973239e+01,-1.118801798731978714e+01,3.532444657495376727e+00
-1.350686895231088869e+00,-3.424770105247276319e+00,7.122314221527186184e+00
-2.738157178189961627e+00,-8.797786700886964795e+00,1.493115845429338862e+01
1.216964332375525260e-01,-1.913623383096911112e+01,8.443329249310552953e+00
1.136169306861065564e+01,1.626228262992554363e+01,7.726444331324703541e+00
5.263766165594301327e+00,-6.596952697750321448e+00,5.641296668297385963e+00
1.552257409092834450e+01,5.985573112032511744e+00,4.818322466332177534e+00
5.449219356416374893e+00,3.310615254140756747e+00,2.868469529288603326e+00
4.320100892508467183e+00,-6.288283604290075601e+00,9.506606753425278500e-01
5.872183324176795338e+00,-1.896180297146539928e+01,8.229656156362946007e+00
1.752789680303941822e+01,9.874448000503328160e+00,4.940940108310686085e+00
-8.135758132495425343e+00,1.479351673942433365e+01,5.486488424709945466e-02
8.584882873953819882e+00,1.566843293162659023e+01,7.817270854919645906e+00
-1.729054463929382024e+01,-6.580930631760217864e+00,1.802077897750724578e+00
1.779209948905977967e+01,-1.240746642326126192e+00,6.134680931239326007e+00
2.760757177201270451e+00,-2.038596273511981138e+00,7.376495946047656460e-01
-5.014275160297113842e+00,-6.029091872256069351e+00,1.773855127949633292e+00
6.346067742217552876e+00,4.098428322948191038e+00,8.189296328896531918e+00
-8.711942149835616434e+00,-1.739378752006625461e+01,3.753765706837426830e+00
-1.317450846886539040e+01,1.926528305958252218e+01,7.277520099394716446e+00
-1.846137694047187239e+01,-1.793583933074718217e+01,3.688277719781070552e+00
7.448469083687150771e+00,-1.286252583629656776e+01,1.397854653620263576e+01
-1.074893433559216405e+01,-6.390654881319349556e+00,3.023722155288904867e-01
1.894998322122038559e+01,-1.947629158601907307e+01,8.558999352758592138e+00
-4.377281678452241920e+00,2.700288677613116306e-01,6.248645804027581185e+00
-1.249529325495165821e+01,4.565111057734092981e+00,1.232996666545653497e+01
3.264973678203652696e+00,-1.537827836343269361e+01,1.404119936427724902e+01
-1.860580270802710956e+01,-1.541949901660839117e+01,4.485375197085969212e+00
-3.661782701664790807e+00,1.647829476462239029e+01,1.389234514332857096e+01
-1.081100955290784071e+01,-4.932037433789560055e-02,4.100772363801696851e-01
-1.195328849288738482e+01,1.054069057924681729e+01,8.062158616432000713e+00
-1.239959022756323748e+01,1.622316413491496689e+00,4.797135006996585460e+00
1.059933712937748851e+01,-1.208174133229521630e+01,6.325945886592467815e+00
4.596562512502192277e+00,1.289285793914901035e+01,7.744534052981500771e+00
